Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Payment Mode,AvgDeivery
3744,CA-2019-137848,"Tuesday, January 15, 2019","Monday, January 21, 2019",Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York,East,OFF-BI-10002225,Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",49.536,3,17.3376,Cards,6
6238,US-2019-155180,"Tuesday, January 22, 2019","Tuesday, January 29, 2019",Standard Class,TB-21280,Toby Braunhardt,Consumer,United States,New York City,New York,East,OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,26.336,4,9.2176,Online,7
1243,US-2019-162859,"Friday, February 15, 2019","Friday, February 22, 2019",Standard Class,PG-18820,Patrick Gardner,Consumer,United States,New York City,New York,East,OFF-BI-10004519,Office Supplies,Binders,GBC DocuBind P100 Manual Binding Machine,398.352,3,124.485,COD,7
7236,CA-2019-137337,"Friday, March 8, 2019","Tuesday, March 12, 2019",Standard Class,GB-14575,Giulietta Baptist,Consumer,United States,New York City,New York,East,OFF-BI-10000632,Office Supplies,Binders,Satellite Sectional Post Binders,69.456,2,22.5732,Cards,4
3974,CA-2019-167556,"Friday, March 29, 2019","Tuesday, April 2, 2019",Standard Class,JM-15250,Janet Martin,Consumer,United States,New York City,New York,East,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",29.8,5,9.3125,COD,4
3976,CA-2019-167556,"Friday, March 29, 2019","Tuesday, April 2, 2019",Standard Class,JM-15250,Janet Martin,Consumer,United States,New York City,New York,East,OFF-BI-10000320,Office Supplies,Binders,GBC Plastic Binding Combs,41.328,7,14.9814,COD,4
4092,CA-2019-161473,"Monday, April 1, 2019","Friday, April 5, 2019",Standard Class,TB-21175,Thomas Boland,Corporate,United States,New York City,New York,East,OFF-BI-10003305,Office Supplies,Binders,Avery Hanging File Binders,14.352,3,4.6644,COD,4
5144,CA-2019-111213,"Monday, April 1, 2019","Friday, April 5, 2019",Standard Class,FP-14320,Frank Preis,Consumer,United States,New York City,New York,East,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,3.592,1,1.1225,COD,4
5440,CA-2019-167115,"Thursday, April 4, 2019","Tuesday, April 9, 2019",Standard Class,EH-14185,Evan Henry,Consumer,United States,New York City,New York,East,OFF-BI-10004600,Office Supplies,Binders,Ibico Ibimaster 300 Manual Binding System,588.784,2,183.995,COD,5
7114,CA-2019-109666,"Friday, April 19, 2019","Friday, April 26, 2019",Standard Class,KM-16720,Kunst Miller,Consumer,United States,New York City,New York,East,OFF-BI-10000174,Office Supplies,Binders,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",9.28,2,3.248,COD,7
1716,CA-2019-154788,"Tuesday, April 30, 2019","Saturday, May 4, 2019",Standard Class,JL-15835,John Lee,Consumer,United States,New York City,New York,East,OFF-BI-10003314,Office Supplies,Binders,Tuff Stuff Recycled Round Ring Binders,7.712,2,2.7956,Online,4
9852,CA-2019-158155,"Thursday, May 2, 2019","Monday, May 6, 2019",Standard Class,EH-13765,Edward Hooks,Corporate,United States,New York City,New York,East,OFF-BI-10001670,Office Supplies,Binders,Vinyl Sectional Post Binders,90.48,3,33.93,Cards,4
2180,CA-2019-128818,"Tuesday, May 7, 2019","Saturday, May 11, 2019",Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,New York City,New York,East,OFF-BI-10000309,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",85.232,7,30.8966,Cards,4
4830,CA-2019-152408,"Wednesday, May 15, 2019","Tuesday, May 21, 2019",Standard Class,TT-21220,Thomas Thornton,Consumer,United States,New York City,New York,East,OFF-BI-10002393,Office Supplies,Binders,Binder Posts,13.776,3,4.4772,Cards,6
1721,CA-2019-169943,"Sunday, May 19, 2019","Friday, May 24, 2019",Standard Class,BN-11515,Bradley Nguyen,Consumer,United States,New York City,New York,East,OFF-BI-10002824,Office Supplies,Binders,Recycled Easel Ring Binders,47.744,4,14.92,Cards,5
9631,CA-2019-168844,"Friday, May 31, 2019","Thursday, June 6, 2019",Standard Class,NM-18520,Neoma Murray,Consumer,United States,New York City,New York,East,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,7.152,3,2.3244,COD,6
5226,CA-2019-119865,"Friday, June 21, 2019","Wednesday, June 26, 2019",Standard Class,AS-10090,Adam Shillingsburg,Consumer,United States,New York City,New York,East,OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,36.56,5,12.796,COD,5
5227,CA-2019-119865,"Friday, June 21, 2019","Wednesday, June 26, 2019",Standard Class,AS-10090,Adam Shillingsburg,Consumer,United States,New York City,New York,East,OFF-BI-10003007,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",186.144,6,60.4968,COD,5
2154,CA-2019-117282,"Sunday, July 14, 2019","Thursday, July 18, 2019",Standard Class,DR-12880,Dan Reichenbach,Corporate,United States,New York City,New York,East,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,14.16,2,5.133,COD,4
9311,US-2019-102141,"Monday, August 26, 2019","Saturday, August 31, 2019",Standard Class,KD-16615,Ken Dana,Corporate,United States,New York City,New York,East,OFF-BI-10001510,Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,146.688,8,45.84,COD,5
5332,CA-2019-123120,"Wednesday, September 4, 2019","Sunday, September 8, 2019",Standard Class,CV-12295,Christina VanderZanden,Consumer,United States,New York City,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,60.6,5,20.4525,Online,4
925,CA-2019-149797,"Sunday, September 15, 2019","Friday, September 20, 2019",Standard Class,AH-10075,Adam Hart,Corporate,United States,New York City,New York,East,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,841.568,2,294.5488,Online,5
3311,CA-2019-111416,"Tuesday, September 17, 2019","Sunday, September 22, 2019",Standard Class,LW-17215,Luke Weiss,Consumer,United States,New York City,New York,East,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,232.4,5,78.435,Online,5
71,CA-2019-106075,"Wednesday, September 18, 2019","Monday, September 23, 2019",Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,1.731,Online,5
9536,CA-2019-116596,"Sunday, October 27, 2019","Thursday, October 31, 2019",Standard Class,BW-11200,Ben Wallace,Consumer,United States,New York City,New York,East,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,9.728,2,3.2832,COD,4
9203,CA-2019-153836,"Wednesday, October 30, 2019","Sunday, November 3, 2019",Standard Class,EH-13765,Edward Hooks,Corporate,United States,New York City,New York,East,OFF-BI-10004817,Office Supplies,Binders,GBC Personal VeloBind Strips,28.752,3,10.0632,Cards,4
4863,CA-2019-125164,"Sunday, November 10, 2019","Thursday, November 14, 2019",Standard Class,SH-19975,Sally Hughsby,Corporate,United States,New York City,New York,East,OFF-BI-10001191,Office Supplies,Binders,Canvas Sectional Post Binders,20.368,1,7.3834,Online,4
4864,CA-2019-125164,"Sunday, November 10, 2019","Thursday, November 14, 2019",Standard Class,SH-19975,Sally Hughsby,Corporate,United States,New York City,New York,East,OFF-BI-10003982,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,49.848,3,16.8237,Cards,4
9249,CA-2019-127761,"Sunday, November 10, 2019","Thursday, November 14, 2019",Standard Class,SW-20275,Scott Williamson,Consumer,United States,New York City,New York,East,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,3.64,1,1.365,Online,4
